model_size,speaker,passage,TP,FP,FN,Precision,Recall,F1
medium,SA002,grandfather,13,16,21,0.4482758620689655,0.38235294117647056,0.41269841269841273
medium,SA002,rainbow,6,7,9,0.46153846153846156,0.4,0.42857142857142855
medium,SA003,grandfather,1,3,2,0.25,0.3333333333333333,0.28571428571428575
medium,SA003,rainbow,0,3,2,0.0,0.0,0.0
medium,SA004,grandfather,15,24,27,0.38461538461538464,0.35714285714285715,0.3703703703703704
medium,SA004,rainbow,5,13,7,0.2777777777777778,0.4166666666666667,0.33333333333333337
medium,SA005,grandfather,4,11,5,0.26666666666666666,0.4444444444444444,0.33333333333333337
medium,SA005,rainbow,3,1,2,0.75,0.6,0.6666666666666665
medium,SA006,grandfather,5,29,13,0.14705882352941177,0.2777777777777778,0.1923076923076923
medium,SA006,rainbow,3,8,9,0.2727272727272727,0.25,0.2608695652173913
small,SA001,grandfather,9,13,13,0.4090909090909091,0.4090909090909091,0.4090909090909091
small,SA001,rainbow,2,15,9,0.11764705882352941,0.18181818181818182,0.14285714285714285
small,SA002,grandfather,12,15,21,0.4444444444444444,0.36363636363636365,0.39999999999999997
small,SA002,rainbow,8,14,9,0.36363636363636365,0.47058823529411764,0.41025641025641024
small,SA003,grandfather,1,3,2,0.25,0.3333333333333333,0.28571428571428575
small,SA003,rainbow,1,14,1,0.06666666666666667,0.5,0.11764705882352941
small,SA004,grandfather,14,41,27,0.2545454545454545,0.34146341463414637,0.2916666666666667
small,SA004,rainbow,4,24,7,0.14285714285714285,0.36363636363636365,0.2051282051282051
small,SA005,grandfather,4,11,6,0.26666666666666666,0.4,0.32
small,SA005,rainbow,2,5,2,0.2857142857142857,0.5,0.36363636363636365
small,SA006,grandfather,6,15,12,0.2857142857142857,0.3333333333333333,0.30769230769230765
small,SA006,rainbow,2,28,10,0.06666666666666667,0.16666666666666666,0.09523809523809522
tiny,SA001,grandfather,11,37,12,0.22916666666666666,0.4782608695652174,0.3098591549295775
tiny,SA001,rainbow,1,33,10,0.029411764705882353,0.09090909090909091,0.04444444444444444
tiny,SA002,grandfather,17,32,20,0.3469387755102041,0.4594594594594595,0.3953488372093023
tiny,SA002,rainbow,9,35,8,0.20454545454545456,0.5294117647058824,0.29508196721311475
tiny,SA003,grandfather,1,20,2,0.047619047619047616,0.3333333333333333,0.08333333333333333
tiny,SA003,rainbow,1,1,1,0.5,0.5,0.5
tiny,SA004,grandfather,11,65,31,0.14473684210526316,0.2619047619047619,0.1864406779661017
tiny,SA004,rainbow,4,34,8,0.10526315789473684,0.3333333333333333,0.16
tiny,SA005,grandfather,4,28,6,0.125,0.4,0.19047619047619047
tiny,SA005,rainbow,4,27,2,0.12903225806451613,0.6666666666666666,0.2162162162162162
tiny,SA006,grandfather,9,52,10,0.14754098360655737,0.47368421052631576,0.225
tiny,SA006,rainbow,5,31,9,0.1388888888888889,0.35714285714285715,0.2
turbo,SA001,grandfather,7,17,15,0.2916666666666667,0.3181818181818182,0.30434782608695654
turbo,SA001,rainbow,2,13,9,0.13333333333333333,0.18181818181818182,0.15384615384615383
turbo,SA002,grandfather,12,176,20,0.06382978723404255,0.375,0.1090909090909091
turbo,SA002,rainbow,8,8,8,0.5,0.5,0.5
turbo,SA003,grandfather,1,3,2,0.25,0.3333333333333333,0.28571428571428575
turbo,SA003,rainbow,1,0,1,1.0,0.5,0.6666666666666666
turbo,SA004,grandfather,15,473,27,0.030737704918032786,0.35714285714285715,0.05660377358490566
turbo,SA004,rainbow,4,16,7,0.2,0.36363636363636365,0.25806451612903225
turbo,SA005,grandfather,5,91,5,0.052083333333333336,0.5,0.09433962264150943
turbo,SA005,rainbow,3,3,2,0.5,0.6,0.5454545454545454
turbo,SA006,grandfather,9,255,10,0.03409090909090909,0.47368421052631576,0.0636042402826855
turbo,SA006,rainbow,5,11,8,0.3125,0.38461538461538464,0.3448275862068966
